galaxia,cmX [kpc],cmY [kpc],cmZ [kpc],masa_total [Msol],radio [kpc],radio_efectivo [kpc],SFR [Msol/Gyr],SFRe[1/Gyr],masa_estrellas_jovenes [Msol]
FL640_S015.a0.090.csv,0.018147662964251538,0.0032007815831746954,0.0038273549700872027,7302242.263004774,2.1,1.08,69817456.01765712,9.561098290503468,2094523.6805297134
FL658_S014.a0.090.csv,-0.07486457430188884,-0.010148113278849865,-0.03414750525196778,6877586.6971559115,2.0,0.76,35118631.89360235,5.106243431017011,1053558.9568080704
FL661_S012.a0.090.csv,0.26395008603724507,0.21342864885573873,-0.08248210060802691,2125498.0972288996,1.18,0.66,25016244.70261857,11.76959167135143,750487.3410785571
